county,county_doh,pop
Carlow County ,cases_carlow,56932
Cavan County ,cases_cavan,76176
Clare County ,cases_clare,118817
Cork City ,cases_cork,542868
Cork County ,cases_cork,542868
Donegal County ,cases_donegal,159192
Dublin City ,cases_dublin,1347359
Dun Laoghaire-Rathdown ,cases_dublin,1347359
Fingal ,cases_dublin,1347359
Galway City ,cases_galway,258058
Galway County ,cases_galway,258058
Kerry County ,cases_kerry,147707
Kildare County ,cases_kildare,222504
Kilkenny County ,cases_kilkenny,99232
Laois County ,cases_laois,84697
Leitrim County ,cases_leitrim,32044
Limerick City ,cases_limerick,194899
Limerick County ,cases_limerick,194899
Longford County ,cases_longford,40873
Louth County ,cases_louth,128884
Mayo County ,cases_mayo,130507
Meath County ,cases_meath,195044
Monaghan County ,cases_monaghan,61386
North Tipperary ,cases_tipperary,159553
Offaly County ,cases_offaly,77961
Roscommon County ,cases_roscommon,64544
Sligo County ,cases_sligo,65535
South Dublin ,cases_dublin,1347359
South Tipperary ,cases_tipperary,159553
Waterford City ,cases_waterford,116176
Waterford County ,cases_waterford,116176
Westmeath County ,cases_westmeath,88770
Wexford County ,cases_wexford,149722
Wicklow County ,cases_wicklow,142425
