date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
16-Mar,271,84,6,2,59,23,NA,NA,NA,1,0,1,4,28,48,62,40,46,42,NA,NA,NA,NA,0.275,0.206,0.518,22,36,1,NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=5,<=5,<=5,48,<=5,129,12,6,<=5,<=5,0,0,14,<=5,<=5,<=5,<=5,0,<=5,<=5,<=5,<=5,7,7,<=5,9
17-Mar,350,108,7,2,84,26,NA,NA,NA,1,1,2,8,38,64,78,49,54,57,NA,NA,NA,NA,0.355,0.211,0.434,28,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<=5,<=5,<=5,62,<=5,172,13,6,6,<=5,<=5,<=5,14,<=5,6,<=5,6,0,<=5,<=5,<=5,<=5,7,7,<=5,13
18-Mar,438,140,12,3,114,27,189,241,7,1,1,2,9,47,78,96,62,69,75,NA,NA,NA,NA,0.400,0.210,0.390,28,55,1,1,2,9,16,15,11,23,31,NA,NA,NA,0,<=5,<=5,7,66,<=5,225,14,7,9,7,<=5,<=5,15,<=5,8,<=5,11,0,<=5,<=5,<=5,<=5,7,12,<=5,15
19-Mar,584,173,13,3,147,29,257,320,7,2,2,4,10,56,110,121,95,85,102,NA,NA,NA,1,0.422,0.229,0.349,44,96,7,2,1,9,24,18,28,31,60,NA,NA,NA,0,<=5,<=5,7,88,<=5,320,21,8,18,11,<=5,<=5,15,<=5,9,<=5,10,0,7,<=5,<=5,<=5,8,14,<=5,17
20-Mar,712,211,17,4,159,35,311,393,8,3,2,5,12,63,127,149,132,101,122,NA,NA,NA,1,0.44,0.23,0.33,42,106,11,2,2,13,27,22,40,34,71,NA,NA,NA,0,<=5,<=5,7,101,<=5,402,25,9,20,11,6,<=5,15,<=5,11,<=5,11,<=5,9,<=5,<=5,8,9,16,<=5,22
21-Mar,836,239,25,6,208,37,369,460,7,3,2,5,16,69,166,165,158,117,139,NA,NA,NA,1,0.43,0.24,0.33,55,133,20,2,2,14,31,26,42,37,85,NA,NA,NA,0,<=5,<=5,9,104,8,471,33,12,23,15,6,<=5,18,<=5,13,6,13,<=5,10,<=5,8,20,9,20,<=5,22
22-Mar,965,277,36,6,247,44,431,534,0,3,2,5,17,77,189,183,191,136,165,NA,NA,NA,2,0.45,0.24,0.31,62,156,29,2,2,15,36,26,52,43,101,NA,NA,NA,0,<=5,<=5,11,123,11,535,35,15,25,16,8,<=5,19,<=5,16,9,16,<=5,13,<=5,8,20,13,21,<=5,28
23-Mar,1146,305,39,7,283,63,522,624,0,3,2,5,20,94,228,214,229,165,207,NA,NA,NA,2,0.486,0.242,0.290,67,180,36,2,2,15,38,27,57,50,114,NA,NA,NA,0,<=5,<=5,12,133,11,659,40,33,34,16,9,<=5,19,<=5,18,9,24,<=5,13,<=5,8,20,15,25,7,39
24-Mar,1383,340,47,9,321,66,630,753,0,3,5,8,22,111,264,246,280,197,252,NA,NA,NA,3,0.491,0.228,0.281,67,180,36,2,2,16,38,29,64,56,133,NA,NA,NA,0,<=5,6,25,154,12,774,45,38,39,19,9,<=5,24,<=5,20,14,27,<=5,16,<=5,8,27,22,29,8,49
25-Mar,1639,419,59,21,375,79,760,879,0,3,7,10,25,123,310,305,320,233,307,NA,NA,NA,3,0.509,0.218,0.273,77,229,69,3,3,17,45,40,70,71,169,NA,NA,NA,0,<=5,9,26,171,15,922,57,44,45,20,10,<=5,36,<=5,24,18,33,<=5,19,7,8,34,25,39,9,52
